2022-01-06 01:09:40 INFO  ormv.util.ConnectionUtil:53 - Database Connection Established
2022-01-06 01:11:05 INFO  ormv.util.ConnectionUtil:57 - Database Connection Established
2022-01-06 01:52:14 WARN  ormv.util.ConnectionUtil:79 - java.lang.NullPointerException: Cannot invoke "com.ormv.util.ConnectionUtil.printDbStatus()" because "jdbcObj" is null
2022-01-06 01:53:02 WARN  ormv.util.ConnectionUtil:79 - java.lang.NullPointerException: Cannot invoke "com.ormv.util.ConnectionUtil.printDbStatus()" because "jdbcObj" is null
2022-01-07 05:44:11 WARN  ormv.util.ConnectionUtil:29 - org.postgresql.util.PSQLException: ERROR: syntax error at or near ","
  Position: 58
2022-01-07 05:44:11 WARN  ormv.util.ConnectionUtil:29 - org.postgresql.util.PSQLException: ERROR: syntax error at or near ")"
  Position: 70
2022-01-07 05:45:30 WARN  ormv.util.ConnectionUtil:29 - org.postgresql.util.PSQLException: ERROR: syntax error at or near ","
  Position: 58
2022-01-07 05:45:31 WARN  ormv.util.ConnectionUtil:29 - org.postgresql.util.PSQLException: ERROR: syntax error at or near ")"
  Position: 70
2022-01-07 05:48:07 WARN  ormv.util.ConnectionUtil:29 - org.postgresql.util.PSQLException: ERROR: syntax error at or near ","
  Position: 58
2022-01-07 05:48:07 WARN  ormv.util.ConnectionUtil:29 - org.postgresql.util.PSQLException: ERROR: syntax error at or near ")"
  Position: 70
2022-01-07 10:43:36 WARN  ormv.util.ConnectionUtil:36 - org.postgresql.util.PSQLException: ERROR: column "test_id" referenced in foreign key constraint does not exist
2022-01-07 10:45:36 WARN  ormv.util.ConnectionUtil:36 - org.postgresql.util.PSQLException: ERROR: column "test_id" referenced in foreign key constraint does not exist
2022-01-08 12:51:03 WARN  ormv.util.ConnectionUtil:93 - org.postgresql.util.PSQLException: ERROR: syntax error at end of input
  Position: 36
2022-01-08 12:54:56 WARN  ormv.util.ConnectionUtil:97 - org.postgresql.util.PSQLException: Can't use query methods that take a query string on a PreparedStatement.
2022-01-08 12:59:33 WARN  ormv.util.ConnectionUtil:97 - org.postgresql.util.PSQLException: Can't use query methods that take a query string on a PreparedStatement.
2022-01-08 13:00:59 WARN  ormv.util.ConnectionUtil:97 - org.postgresql.util.PSQLException: Can't use query methods that take a query string on a PreparedStatement.
2022-01-10 05:21:13 WARN  ormv.util.ConnectionUtil:572 - org.postgresql.util.PSQLException: No value specified for parameter 1.
2022-01-10 05:23:31 WARN  ormv.util.ConnectionUtil:573 - org.postgresql.util.PSQLException: No value specified for parameter 1.
2022-01-10 05:25:05 WARN  ormv.util.ConnectionUtil:574 - org.postgresql.util.PSQLException: No value specified for parameter 1.
2022-01-10 05:25:53 WARN  ormv.util.ConnectionUtil:574 - org.postgresql.util.PSQLException: No value specified for parameter 1.
2022-01-10 05:34:32 WARN  ormv.util.ConnectionUtil:574 - org.postgresql.util.PSQLException: ERROR: null value in column "user_id" of relation "users" violates not-null constraint
  Detail: Failing row contains (null, Vishal, Athar, null).
2022-01-10 05:38:37 WARN  ormv.util.ConnectionUtil:574 - org.postgresql.util.PSQLException: The column index is out of range: 3, number of columns: 2.
2022-01-10 05:42:08 WARN  ormv.util.ConnectionUtil:574 - org.postgresql.util.PSQLException: The column index is out of range: 3, number of columns: 2.
